circuit,n_qubits,family,depth_bucket,decision_class,rec_key,fastest_key,is_fastest,overhead,source
QFT-8-b8,8,QFT,,general,qpanda/statevector,qpanda/density_matrix,False,1.01,local
GHZ-16-b8,16,GHZ,,clifford,qiskit/stabilizer,qiskit/statevector,False,2.05,local
LinCluster-12-b8,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,46.97,local
Grover-4-b8,4,Grover,,clifford,qpanda/statevector,native/statevector,False,1.4,local
Grover-6-b8,6,Grover,,clifford,qpanda/statevector,native/statevector,False,1.23,local
Grover-8-b8,8,Grover,,clifford,native/statevector,qpanda/statevector,False,155.0,local
GHZ-12-b8,12,GHZ,,clifford,native/statevector,qpanda/density_matrix,False,218.11,local
Grover-10-b8,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,625.78,local
Grover-12-b8,12,Grover,,clifford,qpanda/statevector,qiskit/statevector,False,2.27,local
QPE-4-b8,5,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.08,local
QPE-6-b8,7,QPE,,low_tw,qpanda/statevector,native/statevector,False,1.04,local
QPE-8-b8,9,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.08,local
QPE-10-b8,11,QPE,,low_tw,qpanda/statevector,qiskit/statevector,False,1.3,local
QFT-16-b8,16,QFT,,general,qpanda/statevector,qpanda/statevector,True,1.0,local
Grover-16-b8,16,Grover,,clifford,qpanda/statevector,qiskit/stabilizer,False,1.23,local
VQE-4-b8,4,VQE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-6-b8,6,VQE,,low_tw,qpanda/statevector,native/statevector,False,1.03,local
VQE-8-b8,8,VQE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-10-b8,10,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,100.75,local
QPE-12-b8,13,QPE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-16-b8,16,VQE,,low_tw,qiskit/statevector,qiskit/statevector,True,1.0,local
QAOA-4-b8,4,QAOA,,low_tw,qpanda/statevector,native/statevector,False,1.19,local
QAOA-6-b8,6,QAOA,,low_tw,qpanda/statevector,native/statevector,False,1.08,local
QAOA-8-b8,8,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,65.57,local
QAOA-10-b8,10,QAOA,,low_tw,native/statevector,qpanda/statevector,False,119.12,local
VQE-12-b8,12,VQE,,low_tw,qiskit/statevector,qiskit/statevector,True,1.0,local
QAOA-16-b8,16,QAOA,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-8-shallow-b8,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,206.19,local
RandCliff-8-medium-b8,8,RandomClifford,medium,clifford,native/statevector,qpanda/density_matrix,False,224.27,local
QPE-16-b8,17,QPE,,low_tw,qpanda/statevector,qiskit/statevector,False,1.57,local
QAOA-12-b8,12,QAOA,,low_tw,qiskit/statevector,qiskit/statevector,True,1.0,local
QFT-12-b8,12,QFT,,general,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-16-shallow-b8,16,RandomClifford,shallow,clifford,qpanda/statevector,qiskit/stabilizer,False,1.09,local
RandNonCliff-8-shallow-b8,8,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/density_matrix,False,8.68,local
RandNonCliff-8-medium-b8,8,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-12-shallow-b8,12,RandomClifford,shallow,clifford,qiskit/statevector,qpanda/density_matrix,False,1.41,local
RandCliff-16-medium-b8,16,RandomClifford,medium,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-12-medium-b8,12,RandomClifford,medium,clifford,qiskit/statevector,qiskit/statevector,True,1.0,local
RandNonCliff-16-shallow-b8,16,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-16-medium-b8,16,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-12-shallow-b8,12,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/density_matrix,False,2.09,local
RandNonCliff-12-medium-b8,12,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,2.15,local
GHZ-4-b9,4,GHZ,,clifford,qpanda/statevector,qpanda/density_matrix,False,1.1,local
LinCluster-4-b9,4,LinearCluster,,clifford,qpanda/statevector,native/statevector,False,1.44,local
LinCluster-8-b9,8,LinearCluster,,clifford,cupy/statevector,qpanda/density_matrix,False,3.24,local
GHZ-8-b9,8,GHZ,,clifford,cupy/statevector,native/statevector,False,1.24,local
LinCluster-16-b9,16,LinearCluster,,clifford,qiskit/stabilizer,qiskit/statevector,False,1.99,local
QFT-4-b9,4,QFT,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QFT-8-b9,8,QFT,,general,qpanda/statevector,qpanda/statevector,True,1.0,local
GHZ-16-b9,16,GHZ,,clifford,qiskit/stabilizer,qiskit/statevector,False,12.18,local
LinCluster-12-b9,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,31.61,local
Grover-4-b9,4,Grover,,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
Grover-6-b9,6,Grover,,clifford,qpanda/statevector,qpanda/density_matrix,False,1.29,local
Grover-8-b9,8,Grover,,clifford,native/statevector,qpanda/density_matrix,False,118.51,local
GHZ-12-b9,12,GHZ,,clifford,native/statevector,qpanda/density_matrix,False,118.18,local
Grover-10-b9,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,467.29,local
Grover-12-b9,12,Grover,,clifford,qpanda/statevector,qiskit/stabilizer,False,2.07,local
QPE-4-b9,5,QPE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QPE-6-b9,7,QPE,,low_tw,qpanda/statevector,native/statevector,False,1.07,local
QPE-8-b9,9,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.02,local
QPE-10-b9,11,QPE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QFT-16-b9,16,QFT,,general,qpanda/statevector,qiskit/statevector,False,1.53,local
Grover-16-b9,16,Grover,,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-4-b9,4,VQE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-6-b9,6,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.03,local
VQE-8-b9,8,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.05,local
VQE-10-b9,10,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,152.76,local
VQE-12-b9,12,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.03,local
VQE-16-b9,16,VQE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QAOA-4-b9,4,QAOA,,low_tw,qpanda/statevector,native/statevector,False,1.82,local
QAOA-6-b9,6,QAOA,,low_tw,qpanda/statevector,native/statevector,False,1.21,local
QAOA-8-b9,8,QAOA,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.04,local
QAOA-10-b9,10,QAOA,,low_tw,native/statevector,qpanda/statevector,False,194.19,local
QPE-12-b9,13,QPE,,low_tw,qpanda/statevector,qiskit/statevector,False,1.55,local
QAOA-16-b9,16,QAOA,,low_tw,qpanda/statevector,qiskit/statevector,False,3.08,local
RandCliff-8-shallow-b9,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,179.68,local
RandCliff-8-medium-b9,8,RandomClifford,medium,clifford,native/statevector,qpanda/density_matrix,False,321.03,local
QPE-16-b9,17,QPE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QFT-12-b9,12,QFT,,general,qpanda/statevector,qpanda/statevector,True,1.0,local
QAOA-12-b9,12,QAOA,,low_tw,qiskit/statevector,qpanda/statevector,False,6.17,local
RandCliff-12-shallow-b9,12,RandomClifford,shallow,clifford,qiskit/statevector,qpanda/statevector,False,2.47,local
RandNonCliff-8-shallow-b9,8,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.02,local
RandNonCliff-8-medium-b9,8,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-16-shallow-b9,16,RandomClifford,shallow,clifford,qpanda/statevector,qiskit/statevector,False,1.01,local
RandCliff-12-medium-b9,12,RandomClifford,medium,clifford,qiskit/statevector,qpanda/statevector,False,1.78,local
RandCliff-16-medium-b9,16,RandomClifford,medium,clifford,qpanda/statevector,qiskit/statevector,False,2.24,local
RandNonCliff-16-shallow-b9,16,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-16-medium-b9,16,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-12-shallow-b9,12,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-12-medium-b9,12,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,1.46,local
GHZ-4-b10,4,GHZ,,clifford,qpanda/statevector,qpanda/density_matrix,False,1.05,local
LinCluster-4-b10,4,LinearCluster,,clifford,qpanda/statevector,native/statevector,False,1.75,local
GHZ-8-b10,8,GHZ,,clifford,cupy/statevector,native/statevector,False,0.88,local
LinCluster-8-b10,8,LinearCluster,,clifford,cupy/statevector,qpanda/density_matrix,False,3.4,local
LinCluster-16-b10,16,LinearCluster,,clifford,qiskit/stabilizer,qpanda/statevector,False,2.63,local
QFT-4-b10,4,QFT,,low_tw,qpanda/statevector,native/statevector,False,1.13,local
QFT-8-b10,8,QFT,,general,qpanda/statevector,qpanda/statevector,True,1.0,local
GHZ-16-b10,16,GHZ,,clifford,qiskit/stabilizer,qiskit/statevector,False,1.01,local
LinCluster-12-b10,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,95.82,local
Grover-4-b10,4,Grover,,clifford,qpanda/statevector,native/statevector,False,1.03,local
Grover-6-b10,6,Grover,,clifford,qpanda/statevector,qpanda/density_matrix,False,1.17,local
Grover-8-b10,8,Grover,,clifford,native/statevector,qpanda/density_matrix,False,125.21,local
GHZ-12-b10,12,GHZ,,clifford,native/statevector,qpanda/density_matrix,False,127.72,local
Grover-10-b10,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,346.63,local
Grover-12-b10,12,Grover,,clifford,qpanda/statevector,qiskit/statevector,False,1.85,local
QPE-4-b10,5,QPE,,low_tw,qpanda/statevector,native/statevector,False,1.48,local
QPE-6-b10,7,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.14,local
QPE-8-b10,9,QPE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QPE-10-b10,11,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.04,local
QFT-16-b10,16,QFT,,general,qpanda/statevector,qpanda/statevector,True,1.0,local
Grover-16-b10,16,Grover,,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-4-b10,4,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.03,local
VQE-6-b10,6,VQE,,low_tw,qpanda/statevector,native/statevector,False,1.03,local
VQE-8-b10,8,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.17,local
VQE-10-b10,10,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,108.39,local
QPE-12-b10,13,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,206.58,local
VQE-16-b10,16,VQE,,low_tw,qiskit/statevector,qiskit/statevector,True,1.0,local
QAOA-4-b10,4,QAOA,,low_tw,qpanda/statevector,native/statevector,False,1.33,local
QAOA-6-b10,6,QAOA,,low_tw,qpanda/statevector,native/statevector,False,1.21,local
QAOA-8-b10,8,QAOA,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QAOA-10-b10,10,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,198.17,local
VQE-12-b10,12,VQE,,low_tw,qiskit/statevector,qiskit/statevector,True,1.0,local
QAOA-16-b10,16,QAOA,,low_tw,qiskit/statevector,qpanda/statevector,False,1.48,local
RandCliff-8-shallow-b10,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,262.08,local
RandCliff-8-medium-b10,8,RandomClifford,medium,clifford,native/statevector,qpanda/density_matrix,False,198.87,local
QPE-16-b10,17,QPE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QAOA-12-b10,12,QAOA,,low_tw,qiskit/statevector,qpanda/statevector,False,1.94,local
QFT-12-b10,12,QFT,,general,qpanda/statevector,qpanda/density_matrix,False,1.19,local
RandCliff-12-shallow-b10,12,RandomClifford,shallow,clifford,qiskit/statevector,qpanda/statevector,False,3.01,local
RandNonCliff-8-shallow-b10,8,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-8-medium-b10,8,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.03,local
RandCliff-16-shallow-b10,16,RandomClifford,shallow,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-16-medium-b10,16,RandomClifford,medium,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-12-medium-b10,12,RandomClifford,medium,clifford,qiskit/statevector,qiskit/stabilizer,False,2.16,local
RandNonCliff-16-shallow-b10,16,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-16-medium-b10,16,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,3.0,local
RandNonCliff-12-shallow-b10,12,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.7,local
RandNonCliff-12-medium-b10,12,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/density_matrix,False,2.02,local
GHZ-4-b11,4,GHZ,,clifford,qpanda/statevector,qpanda/density_matrix,False,1.08,local
LinCluster-4-b11,4,LinearCluster,,clifford,qpanda/statevector,native/statevector,False,1.16,local
LinCluster-8-b11,8,LinearCluster,,clifford,cupy/statevector,qpanda/statevector,False,5.16,local
GHZ-8-b11,8,GHZ,,clifford,cupy/statevector,native/statevector,False,1.68,local
LinCluster-16-b11,16,LinearCluster,,clifford,qiskit/stabilizer,qiskit/stabilizer,True,1.0,local
QFT-4-b11,4,QFT,,low_tw,qpanda/statevector,native/statevector,False,1.41,local
QFT-8-b11,8,QFT,,general,qpanda/statevector,qpanda/statevector,True,1.0,local
GHZ-16-b11,16,GHZ,,clifford,qiskit/stabilizer,qiskit/stabilizer,True,1.0,local
LinCluster-12-b11,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,73.39,local
Grover-4-b11,4,Grover,,clifford,qpanda/statevector,native/statevector,False,1.26,local
Grover-6-b11,6,Grover,,clifford,qpanda/statevector,qpanda/density_matrix,False,1.02,local
Grover-8-b11,8,Grover,,clifford,native/statevector,qpanda/density_matrix,False,119.09,local
GHZ-12-b11,12,GHZ,,clifford,native/statevector,qpanda/density_matrix,False,143.58,local
Grover-10-b11,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,611.23,local
Grover-12-b11,12,Grover,,clifford,qpanda/statevector,qiskit/stabilizer,False,3.14,local
QPE-4-b11,5,QPE,,low_tw,qpanda/statevector,native/statevector,False,1.12,local
QPE-6-b11,7,QPE,,low_tw,qpanda/statevector,native/statevector,False,1.54,local
QPE-8-b11,9,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.06,local
QPE-10-b11,11,QPE,,low_tw,qpanda/statevector,qiskit/statevector,False,1.37,local
QFT-16-b11,16,QFT,,general,qpanda/statevector,qiskit/statevector,False,1.11,local
Grover-16-b11,16,Grover,,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-4-b11,4,VQE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-6-b11,6,VQE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-8-b11,8,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.09,local
VQE-10-b11,10,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.05,local
VQE-12-b11,12,VQE,,low_tw,qiskit/statevector,qpanda/density_matrix,False,9.33,local
QPE-12-b11,13,QPE,,low_tw,qpanda/statevector,qiskit/statevector,False,4.09,local
QAOA-4-b11,4,QAOA,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.0,local
QAOA-6-b11,6,QAOA,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.24,local
QAOA-8-b11,8,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,31.49,local
QAOA-10-b11,10,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,226.53,local
VQE-16-b11,16,VQE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QAOA-16-b11,16,QAOA,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-8-shallow-b11,8,RandomClifford,shallow,clifford,native/statevector,qpanda/statevector,False,239.55,local
RandCliff-8-medium-b11,8,RandomClifford,medium,clifford,native/statevector,qpanda/statevector,False,234.02,local
QPE-16-b11,17,QPE,,low_tw,qpanda/statevector,qiskit/statevector,False,2.24,local
QAOA-12-b11,12,QAOA,,low_tw,qiskit/statevector,qpanda/density_matrix,False,1.82,local
QFT-12-b11,12,QFT,,general,qpanda/statevector,qpanda/density_matrix,False,2.83,local
RandCliff-12-shallow-b11,12,RandomClifford,shallow,clifford,qiskit/statevector,qpanda/statevector,False,2.72,local
RandNonCliff-8-shallow-b11,8,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-8-medium-b11,8,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-16-shallow-b11,16,RandomClifford,shallow,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-16-medium-b11,16,RandomClifford,medium,clifford,qpanda/statevector,qiskit/stabilizer,False,2.81,local
RandCliff-12-medium-b11,12,RandomClifford,medium,clifford,qiskit/statevector,qpanda/density_matrix,False,1.49,local
RandNonCliff-16-shallow-b11,16,RandomNonClifford,shallow,low_tw,qpanda/statevector,qiskit/statevector,False,84.25,local
RandNonCliff-16-medium-b11,16,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-12-shallow-b11,12,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/density_matrix,False,2.8,local
RandNonCliff-12-medium-b11,12,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
GHZ-4-b12,4,GHZ,,clifford,qpanda/statevector,qpanda/density_matrix,False,1.08,local
LinCluster-4-b12,4,LinearCluster,,clifford,qpanda/statevector,native/statevector,False,1.17,local
LinCluster-8-b12,8,LinearCluster,,clifford,cupy/statevector,qpanda/statevector,False,3.28,local
GHZ-8-b12,8,GHZ,,clifford,cupy/statevector,qpanda/density_matrix,False,59.32,local
LinCluster-16-b12,16,LinearCluster,,clifford,qiskit/stabilizer,qiskit/stabilizer,True,1.0,local
QFT-4-b12,4,QFT,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.03,local
QFT-8-b12,8,QFT,,general,qpanda/statevector,qpanda/density_matrix,False,1.01,local
GHZ-16-b12,16,GHZ,,clifford,qiskit/stabilizer,qiskit/statevector,False,2.25,local
LinCluster-12-b12,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,90.24,local
Grover-4-b12,4,Grover,,clifford,qpanda/statevector,native/statevector,False,1.32,local
Grover-6-b12,6,Grover,,clifford,qpanda/statevector,native/statevector,False,1.18,local
Grover-8-b12,8,Grover,,clifford,native/statevector,qpanda/density_matrix,False,113.66,local
GHZ-12-b12,12,GHZ,,clifford,native/statevector,qpanda/density_matrix,False,138.38,local
Grover-10-b12,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,687.09,local
